,title,price,rating,reviews,brand,model,storage_gb,has_5g,has_lte,year,is_unlocked,dual_sim,ram_gb,is_premium,us_version
23,"2026 Upgraded Vacuum Magnetic Mobile Phone Holder Cars for Magsafe Car Mount, Exclusive Metal Adjustable Telescopic Rod,Suction Cup Mobile Phone Holder for iPhone17 Pro Max 16 15 14 13 12 & Samsun","6,720..20",,New on Amazon in past month,2026,,,0,0,2026.0,0,0,,1,0
24,"OUKITEL C68 Unlocked Cell Phone -7.2''120Hz Display, 24GB+512GB Smartphone, 6000mAh Battery Phones, 64MP+8MP Camera, Android 15 Mobile Phone, 4G Dual SIM/Fingerprint/Face ID/GPS/NFC/BT5.0, Blue","70,028..45",5.0 out of 5 stars,"Save PKR 16,807.50",OUKITEL,,24.0,0,0,,1,1,,0,0
25,Nokia C21 Plus | Android 11 (Go Edition) | Unlocked GSM Smartphone | 2-Day Battery | Dual SIM | 2/64GB | 6.52-Inch Screen | Cyan | Not Compatible with Verizon or AT&T,,3.7 out of 5 stars,50+ bought in past month,NOKIA,,64.0,0,0,,1,1,,1,0
26,"LG Aristo 3+ Smartphone, Metro by T-Mobile Unlocked, 16GB Storage, Android 8.1 Oreo, 2GB RAM, 5.0"" HD Display",,2.7 out of 5 stars,No featured offers available,LG,,16.0,0,0,,1,0,,0,0
27,Motorola Moto G35 Dual-SIM 128GB ROM + 4GB RAM (GSM Only | No CDMA) Factory Unlocked 5G Smartphone (Midnight Black) - International Version,"37,816..88",4.3 out of 5 stars,,MOTOROLA,G35 D,128.0,1,0,,1,0,,0,0
28,"Bigme HiBreakS Color Epaper Smart Phone,3300mAh Battery, 8-Core Processor, 6GB+128GB, 5.84 Inch Mobile Phone, Dual Camera, White","85,970..36",3.2 out of 5 stars,New on Amazon in past month,Bigme,,6.0,0,0,,0,0,,1,0
29,"Tracfone Motorola Moto g Power 2025, 128GB, Slate Gray - 6.7"" 120Hz Display, 50MP Camera, Long-Lasting Battery, 5G, Prepaid Smartphone (Locked to Tracfone)",,4.7 out of 5 stars,No featured offers available,Tracfone,,128.0,1,0,2025.0,0,0,,0,0
30,"Motorola Moto G15 4G LTE (XT2521-2) 4+128GB Dual Sim | GSM Unlocked | International Model | for T-Mobile, Metro PCS, Mint, Ultra, & Tello - (Orange)",,3.9 out of 5 stars,No featured offers available,MOTOROLA,G15 4G LTE ,128.0,0,1,,1,1,,1,0
31,"TCL 50 XE 5G T614SP Smartphone 128GB Storage 4GB RAM 6.52"" HD+ Display Verizon Prepaid & Postpaid Locked Blue","22,129..88",5.0 out of 5 stars,Only 6 left in stock - order soon.,TCL,,128.0,1,0,,0,0,,0,0
32,"I25 Ultra 5G Unlocked Smartphone,12GB+512GB Fully Cell Phone for Android 14, 6.99"" Unlocked Cell Phone, 7000mAh, 68MP+108MP Dual Camera/Dual SIM (Desert Titanium)","55,711..26",3.7 out of 5 stars,,I25,,12.0,1,0,,1,1,,1,0
33,"Huness I24 Ultra Unlocked Phone,Built in Pen The Phone,Smartphone Battery 6800mAh 6.8"" HD Screen,Android 14 16+512GB with 128GB Memory Card Cell Phone,5G/Face ID/Fingerprint Lock/GPS (Yellow)","50,419..70",1.8 out of 5 stars,,Huness,,512.0,1,0,,1,0,,1,0
34,"17PROMA X 16GB+512GB 6.99"" HD Screen Smartphone Unlocked Cell Phone,Android 15,Battery 7000mAh Unlocked The Phone,Fingerprint Button Unlock/GPS/Face ID/Dual SIM/5G(Blue)","55,711..26",5.0 out of 5 stars,,17PROMA,,16.0,1,0,,1,1,,0,0
35,"Nokia G400 5G | Verizon, AT&T, T-Mobile | Android 12 | Unlocked Smartphone | 3-Day Battery | US Version | 4/64GB | 6.58-Inch Screen | 48MP Triple Camera | Meteor Grey",,3.5 out of 5 stars,,NOKIA,,64.0,1,0,,1,0,,0,1
36,Easy to Use Mobile Phones,0..00,3.0 out of 5 stars,by,Easy,,,0,0,,0,0,,0,0
37,ASURION 2 Year Mobile Phone Accident Protection Plan ($1000 - $1249.99),,3.3 out of 5 stars,No featured offers available,ASURION,,,0,0,,0,0,,1,0
38,ASURION 2 Year Mobile Phone Accident Protection Plan ($300 - $349.99),,3.6 out of 5 stars,No featured offers available,ASURION,,,0,0,,0,0,,1,0
39,ASURION 2 Year Mobile Phone Accident Protection Plan ($800 - $899.99),,3.4 out of 5 stars,No featured offers available,ASURION,,,0,0,,0,0,,1,0
40,Mobile Phone Recycling & Refurbishing Business: How to Start a Business from Old Phones ?,0..00,,by,Mobile,,,0,0,,0,0,,0,0
41,4G एवं 5G Android Mobile Phones में लगे Parts और IC : learn With PCB Diagrams 2020 (Hindi Edition),0..00,4.7 out of 5 stars,Hindi Edition,4G,,,1,0,2020.0,0,0,,0,0
42,"SIM Card Data Only 12GB 150Days,4G LTE US SIM Card for Unlocked Phone/Router/Security Camera,Support for AT&T,T-Mobile and Verizon,No Contract(Requires Activation)","7,580..18",3.6 out of 5 stars,List Price:,SIM,,12.0,0,1,,1,0,,0,0
43,"5 Pack TF Card 64GB with Adapter, High Speed Memory Card, UHS-I C10 A1 Memory TF Card for Tablet/Mobile Phone/Camera/Car Audio/Game Console (TF162 64GB-5 Pack)","8,400..95",4.2 out of 5 stars,400+ bought in past month,5,,64.0,0,0,,0,0,,0,0
44,"2 Pack TF Card 128GB with Adapter, High Speed Memory Card, UHS-I C10 A1 Memory TF Card for Tablet/Mobile Phone/Camera/Car Audio/Game Console (TF162 Red Gold 128GB)","7,280..45",4.5 out of 5 stars,5K+ bought in past month,2,,128.0,0,0,,0,0,128.0,0,0
45,Questyle M15i Headphone Amplifier [MFi Certified] Portable USB C DAC Amps with 4.4mm/3.5mm Dual Outputs Supports PCM 768kHz/DSD512 High Resolution Lossless Audio Adapter for Smartphones/PC/Laptops,"55,744..88",4.0 out of 5 stars,50+ bought in past month,Questyle,,,0,0,,0,0,,0,0
46,"Bigme HiBreakS Color Epaper Smart Phone,3300mAh Battery, 8-Core Processor, 6GB+128GB, 5.84 Inch Mobile Phone, Dual Camera, White","85,970..36",3.2 out of 5 stars,New on Amazon in past month,Bigme,,6.0,0,0,,0,0,,1,0
47,"LG Aristo 3+ Smartphone, Metro by T-Mobile Unlocked, 16GB Storage, Android 8.1 Oreo, 2GB RAM, 5.0"" HD Display",,2.7 out of 5 stars,No featured offers available,LG,,16.0,0,0,,1,0,,0,0
48,Motorola Moto G35 Dual-SIM 128GB ROM + 4GB RAM (GSM Only | No CDMA) Factory Unlocked 5G Smartphone (Midnight Black) - International Version,"37,816..88",4.3 out of 5 stars,,MOTOROLA,G35 D,128.0,1,0,,1,0,,0,0
49,"UMIDIGI C2 Unlocked Cell Phone, Android 5150mAh Battery with 6.52"" Full Screen MediaTek Helio A22 Smartphone 3GB RAM+32GB ROM 256GB Expandable 13MP Camera Mobile Phone","16,804..70",3.4 out of 5 stars,Only 3 left in stock - order soon.,UMIDIGI,,3.0,0,0,,1,0,,0,0
50,"Tracfone Motorola Moto g Power 2025, 128GB, Slate Gray - 6.7"" 120Hz Display, 50MP Camera, Long-Lasting Battery, 5G, Prepaid Smartphone (Locked to Tracfone)",,4.7 out of 5 stars,No featured offers available,Tracfone,,128.0,1,0,2025.0,0,0,,0,0
51,"UMIDIGI Note 100 5G Unlocked Cell Phone, 5G Dual SIM Android 14 Phone, 50MP Camera,16(8+8) GB+256GB/TF 1TB Expend Smart Phone, 6.8"" HD+120Hz Display, Fingerprint+AI Face Unlock, Dual Mic(Blue)","43,416..57",3.6 out of 5 stars,,UMIDIGI,,256.0,1,0,,1,1,,0,0
52,"Motorola Moto G15 4G LTE (XT2521-2) 4+128GB Dual Sim | GSM Unlocked | International Model | for T-Mobile, Metro PCS, Mint, Ultra, & Tello - (Orange)",,3.9 out of 5 stars,No featured offers available,MOTOROLA,G15 4G LTE ,128.0,0,1,,1,1,,1,0
53,"TCL 50 XE 5G T614SP Smartphone 128GB Storage 4GB RAM 6.52"" HD+ Display Verizon Prepaid & Postpaid Locked Blue","22,129..88",5.0 out of 5 stars,Only 6 left in stock - order soon.,TCL,,128.0,1,0,,0,0,,0,0
54,"SZV 17PROMA X 12+512GB Smartphone Unlocked Cell Phone,6.99"" HD Screen Android 15 Battery 7000mAh Unlocked Phone,Face ID/Fingerprint Button Unlock/Photos/Dual SIM/5G/GPS (White, 12+512G)","47,618..45",5.0 out of 5 stars,Only 6 left in stock - order soon.,SZV,,512.0,1,0,,1,1,,0,0
55,"Unlocked 16PROMA X Smartphone: 6.99"" HD+ Display, 7000mAh Long-Lasting Battery, 12GB+512GB Massive Storage, 108MP AI Camera, High Performance Android Phone for Gaming & Work (Pink)","44,506..26",4.0 out of 5 stars,Only 1 left in stock - order soon.,Unlocked,,12.0,0,0,,1,0,,0,0
56,"17PROMA X 16GB+512GB 6.99"" HD Screen Smartphone Unlocked Cell Phone,Android 15,Battery 7000mAh Unlocked The Phone,Fingerprint Button Unlock/GPS/Face ID/Dual SIM/5G(Blue)","55,711..26",5.0 out of 5 stars,,17PROMA,,16.0,1,0,,1,1,,0,0
57,"Nokia G400 5G | Verizon, AT&T, T-Mobile | Android 12 | Unlocked Smartphone | 3-Day Battery | US Version | 4/64GB | 6.58-Inch Screen | 48MP Triple Camera | Meteor Grey",,3.5 out of 5 stars,,NOKIA,,64.0,1,0,,1,0,,0,1
58,Easy to Use Mobile Phones,0..00,3.0 out of 5 stars,by,Easy,,,0,0,,0,0,,0,0
